Deposit Name,Longitude,Latitude,Commodity Group
Mount Watson,139.88877,-19.77171,Base metals
Mount Webber,119.289,-21.537,Iron ore
Mount Wright,146.832,-20.0404,Gold
Mountain of Light,138.45128,-30.57893,Base metals
Mungari,121.3228,-30.88757,Gold
Murrawombie,146.8719,-31.2586,Base metals
Murrin Murrin,121.893,-28.7668,Base metals
Muswellbrook,150.94139,-32.24499,Coal
Myuna,151.56874,-33.06011,Coal
Nammuldi,117.3953,-22.40687,Iron ore
Narrabri,149.85,-30.52,Coal
Nevoria,119.5835,-31.5067,Gold
New Acland,151.70783,-27.26963,Coal
New Cobar,145.8551,-31.5161,Base metals
New Occidental,145.864,-31.5403,Base metals
Newlands,147.901,-21.2544,Coal
Nicolson's Find,127.3567,-18.4096,Gold
North Goonyella - Eaglefield,147.97662,-21.64755,Coal
North Royal,121.8087,-32.1326,Gold
North Stradbroke Island,153.4435,-27.47679,Mineral sands
Northparkes,148.0498,-32.9135,Base metals
Nova-Bollinger,123.19241,-31.81989,Base metals
Nullagine,120.1563,-21.9523,Gold
Oaky Creek,148.49321,-23.04158,Coal
Olympic Dam,136.88929,-30.43744,Base metals
Ora Banda,121.089,-30.3719,Gold
Orion Downs,148.361,-24.425,Coal
Osborne,140.5736,-22.0939,Base metals
Paddington,121.3437,-30.485,Gold
Pajingo,146.4634,-20.548,Gold
Paraburdoo,117.579,-23.2292,Iron ore
Paulsens,116.2426,-22.5794,Gold
Peak Downs ,148.17307,-22.21991,Coal
Peak Mines,145.86913,-31.55394,Base metals
Perseverance,145.8824,-31.5715,Base metals
Perseverance,120.69724,-27.78889,Base metals
Plutonic,119.4437,-25.3171,Gold
Poitrel,148.23438,-22.04122,Coal
Porphyry,122.285,-29.7809,Gold
Premier,116.28651,-33.39173,Coal
Prohibition,118.5056,-26.60423,Gold
Prominent Hill,135.5749,-29.72004,Base metals
Ranger,132.91846,-12.67354,Uranium
Rasp,141.45127,-31.96552,Base metals
Ravenswood,146.87998,-20.09694,Gold
Ravensworth ,150.997,-32.44,Coal
Ravensworth East,151.07167,-32.39554,Coal
Red October,122.4141,-29.2166,Gold
Revenge,121.7453,-31.2895,Gold
Rixs Creek,151.12998,-32.52684,Coal
Robe River,116.2422,-21.74748,Iron ore
Robe Valley,116.47276,-21.70451,Iron ore
Rolleston,148.4106,-24.44406,Coal
Roper,134,-14.41667,Mineral sands
Rose West - Violet,121.2606,-30.53674,Gold
Rosebery,145.5431,-41.7723,Base metals
Rosemont,122.2753,-27.8397,Gold
Roy Hill,120.05777,-22.56219,Iron ore
Rumbles,122.1882,-31.0668,Gold
Salt Creek,122.0203,-31.1076,Gold
Sand King,120.9624,-30.2111,Gold
Santa,122.2028,-31.0456,Gold
Saraji,148.29105,-22.36938,Coal
Savage River,145.20443,-41.48798,Iron ore
Savannah,128.02349,-17.34721,Base metals
Scuddles,116.9436,-28.7452,Base metals
Silvergrass ,117.18516,-22.1833,Iron ore
Snapper,142.12539,-33.41521,Mineral sands
Sonoma,147.86,-20.62,Coal
South Kalgoorlie,121.6148,-31.0385,Gold
South Walker Creek,148.44271,-21.77094,Coal
Southern Cross,119.5027,-31.466,Gold
Spotted Quoll,119.6778,-32.47818,Base metals
Springvale,150.10563,-33.4006,Coal
St Ives,121.7451,-31.3243,Gold
Stratford,151.9736,-32.11766,Coal
Sunrise Dam,122.4245,-29.0775,Gold
Tahmoor,150.5795,-34.2508,Coal
Tanami - Newmont,129.9336,-20.5256,Gold
Tarong ,151.91152,-26.81354,Coal
Tarrawonga,150.163,-30.638,Coal
Telfer,122.2109,-21.7224,Base metals
Thalanga,145.7699,-20.3419,Base metals
The Peak,145.8778,-31.5653,Base metals
Thunderbox,121.0054,-28.192,Gold
Tomingley,148.2067,-32.5848,Gold
Transvaal,122.0766,-28.7495,Gold
Tritton,146.7216,-31.3956,Base metals
Tropicana,124.55,-29.26,Gold
Ulan,149.74998,-32.24686,Coal
Union Reefs,131.7905,-13.714,Gold
Vine,121.7199,-31.7561,Gold
Central Murchison,118.5078,-26.6054,Gold
Vivien,120.5695,-27.9751,Gold
WAIO,118.57008,-20.30862,Iron ore
Walhalla ,120.6502,-30.1502,Gold
Wallaby,122.3055,-28.8518,Gold
Wallbrook,122.3103,-29.8581,Gold
Wambo,150.99808,-32.57815,Coal
Warkworth,151.09016,-32.60701,Coal
Waroonga,120.5046,-27.0078,Gold
Wattle Bird,121.0509,-30.5198,Gold
Werris Creek,150.6395,-31.40698,Coal
West Angelas,118.78829,-23.18855,Iron ore
Western Turner Syncline,117.5863,-22.6622,Iron ore
Whangamata,118.4425,-26.6624,Gold
Whim Creek,117.83058,-20.84373,Base metals
Whirling Dervish,122.3588,-30.1434,Gold
White Dam,140.5793,-32.0955,Gold
White Foil,121.2506,-30.7738,Gold
Widgiemooltha,121.564,-31.49467,Gold
Wilpinjong,149.885,-32.332,Coal
Wollombi,147.901,-21.2544,Coal
Wombola,121.8317,-30.9987,Gold
Wonnerup ,115.4506,-33.65378,Mineral sands
Woodie Woodie,121.23547,-21.63877,Base metals
Woodlawn,149.57168,-35.06132,Base metals
Yallourn,146.3604,-38.19506,Coal
Yandi,119.10333,-22.73484,Iron ore
Yandicoogina,119.21246,-22.76369,Iron ore
Yarrabee,149.02637,-23.31768,Coal
Zoroastrian,121.286,-30.3351,Gold
